artist,title,album,date,lyrics,lyrics_count,lyrics_unique_count,unique_ratio,most_common_lyrics,most_common_count_lyrics
Coldplay,Always in My Head,Ghost Stories,16/05/2014,i think of you i haven't slept i think i do but i don't forget my body moves goes where i will but though i try my heart stays still it never moves just won't be led so my mouth waters to be fed and you're always in my head you're always in my head you're always in my head you're always in my head you're always in my head always in my you're always in my this i guess is to tell you you're chosen out from the rest,90,46,0.511,['my'],[10]
Coldplay,Midnight,Ghost Stories,17/04/2014,in the darkness before the dawn in the swelling of this storm running round and with apologies and hope is gone leave a light a light on millions are lost from home in the swelling swelling on running round and with a thunder to bleed from thorns leave a light a light on leave a light a light on leave a light a light on leave a light a light on in the darkness before the dawn in the darkness before the dawn leave a light a light on leave a light a light on,95,30,0.316,['a'],[15]
Coldplay,Shiver,Parachutes,06/03/2000,so i look in your direction but you pay me no attention do you? i know you don't listen to me 'cause you say you see straight through me don't you? but on and on from the moment i wake 'til the moment i sleep i'll be there by your side just you try and stop me i'll be waiting in line just to see if you care oh did you want me to change? well i changed for good and i want you to know that you'll always get your way i wanted to say don't you shiver shiver sing it loud and clear i'll always be waiting for you so you know how much i need you but you never even see me do you? and is this my final chance of getting you? but on and on from the moment i wake 'til the moment i sleep i'll be there by your side just you try and stop me i'll be waiting in line just to see if you care if you care oh did you want me to change? well i changed for good and i want you to know that you'll always get your way and i wanted to say don't you shiver don't you shiver sing it loud and clear i'll always be waiting for you yeah i'll always be waiting for you yeah i'll always be waiting for you yeah i'll always be waiting for you for you i will always be waiting and it's you i see but you don't see me and it's you i hear so loud and so clear i sing it loud and clear and i'll always be waiting for you so i look in your direction but you pay me no attention and you know how much i need you but you never even see me,309,78,0.252,['you'],[33]
Coldplay,Strawberry Swing,Viva La Vida or Death and All His Friends,12/06/2008,they were sitting they were sitting in the strawberry swing every moment was so precious they were sitting they were talking in the strawberry swing everybody was for fighting wouldn't wanna waste a thing cold cold water bring me round now my feet won't touch the ground cold cold water what ya say? it's such it's such a perfect day it's such a perfect day i remember we were walking up to strawberry swing i can't wait 'til the morning wouldn't wanna change a thing people leaving all the time inside a perfectly straight line don't you wanna curve away it's such it's such a perfect day it's such a perfect day now the sky could be blue i don't mind without you it's a waste of time could be blue i don't mind without you it's a waste of time could be blue could be grey without you it's a waste of time could be blue i don't mind without you it's a waste of time,167,70,0.419,['a'],[11]
Coldplay,Trouble in Town,Everyday Life,22/11/2019,trouble in town because they cut my brother down because my sister can't wear her crown there's trouble there's trouble in town blood on the beat oh my goodness there's blood on the beat the law of the jungle or the law of the streets there's blood on there's blood on the beat and i get no shelter and i get no peace and i never get released trouble in town because they hung my brother brown because their system just keeps you down there's trouble there's trouble in town and i get no shelter and i get no peace and i just get more police and i get no comfort and i get no name everything is getting strained there must be some way or it's going to kick off someday,132,60,0.455,['get'],[8]
Coldplay,True Love,Ghost Stories,16/05/2014,for a second i was in control i had it once i lost it though and all along the fire below would rise and i wish you could have let me know what's really going on below i've lost you now you let me go but one last time tell me you love me if you don't then lie lie to me remember once upon a time when i was yours and you were blind the fire would sparkle in your eyes and mine so tell me you love me and if you don't then lie lie to me just tell me you love me if you don't then lie lie to me if you don't then lie lie to me and call it true call it true love call it true call it true love,136,59,0.434,['me'],[12]
Coldplay,O,Ghost Stories,16/05/2014,a flock of birds hovering above just flock of birds that's how you think of love and i always look up to the sky pray before the dawn cause they fly always sometimes they arrive sometimes they are gone they fly on a flock of birds hovering along into smoke i'm turned and rise following them up still i always look up to the sky pray before the dawn cause they fly away one minute they arrive next you know they're gone they fly on fly on so fly on fly on ride through maybe one day i'll fly next to you fly on ride through maybe one day i can fly with you fly on fly on fly on,120,54,0.45,['fly'],[13]
Coldplay,A Rush of Blood to the Head,A Rush of Blood to the Head,26/08/2002,he said i'm gonna buy this place and burn it down i'm gonna put it six feet underground he said i'm gonna buy this place and watch it fall stand here beside me baby in the crumbling walls oh i'm gonna buy this place and start a fire stand here until i fill all your heart's desires because i'm gonna buy this place and see it burn and do back the things it did to you in return he said i'm gonna buy a gun and start a war if you can tell me something worth fighting for oh and i'm gonna buy this place is what i said blame it upon a rush of blood to the head honey all the movements you're starting to make see me crumble and fall on my face and i know the mistakes that i've made see it all disappear without trace and they call as they beckon you on they said start as you mean to go on start as you mean to go on he said i'm gonna buy this place and see it go stand here beside me baby watch the orange glow someone will laugh and some just sit and cry but you just sit down there and you wonder why so i'm gonna buy a gun and start a war if you can tell me something worth fighting for and i'm gonna buy this place is what i say blame it upon a rush of blood to the head oh to the head honey all the movements you're starting to make see me crumble and fall on my face and i know the mistakes that i've made see it all disappear without trace and they call as they beckon you on they said start as you mean to go on as you mean to go on as you mean to go on so meet me by the bridge meet me by the lake when am i gonna see that pretty face again? oh meet me on the road meet me where i said blame it all upon a rush of blood to the head,356,111,0.312,['and'],[19]
Coldplay,Green Eyes,A Rush of Blood to the Head,26/08/2002,honey you are a rock upon which i stand and i come here to talk i hope you understand the green eyes yeah the spotlight shines upon you and how could anybody deny you i came here with a load and it feels so much lighter now i met you and honey you should know that i could never go on without you green eyes honey you are the sea upon which i float and i came here to talk i think you should know the green eyes your the one that i wanted to find and anyone who tried to deny you must be out of their mind because i came here with a load and it feels so much lighter since i met you honey you should know that i could never go on without you green eyes green eyes honey you are a rock upon which i stand,151,61,0.404,['i'],[14]
Coldplay,Every Teardrop Is a Waterfall,iTunes Festival: London 2011,03/06/2011,i turn the music up i got my records on i shut the world outside until the lights come on maybe the streets alight maybe the trees are gone i feel my heart start beating to my favourite song and all the kids they dance all the kids all night until monday morning feels another life i turn the music up i'm on a roll this time and heaven is in sight uh i turn the music up i got my records on from underneath the rubble sing a rebel song don't want to see another generation drop i'd rather be a comma than a full stop maybe i'm in the black maybe i'm on my knees maybe i'm in the gap batween the two trapezes but my heart is beating and my pulses start cathedrals in my heart as we saw oh this light i swear you emerge blinking into to tell me it's alright as we soar walls every siren is a symphony and every tear's a waterfall is a waterfall oh is a waterfall oh oh oh is a is a waterfall every tear is a waterfall oh oh oh so you can hurt hurt me bad but still i'll raise the flag oh it was a wa wa wa wa wa-a-terfall a wa wa wa wa wa-aterfall every tear every tear every teardrop is a waterfall every tear every tear every teardrop is a waterfall,239,111,0.464,['a'],[15]
